epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8389.05,0.22388,0.90202,0.97182,0.74041,0.81844,0.84222,0.77401,0.40812,0.86156,1.00753,0.000492625,0.000492625,0.000492625
43,8565.09,0.22035,0.88945,0.96836,0.7934,0.67664,0.75606,0.68804,0.43351,1.37367,1.03501,0.00048025,0.00048025,0.00048025
44,8740.21,0.21995,0.89781,0.96913,0.8117,0.85614,0.87717,0.79915,0.45863,0.73238,1.05534,0.000467875,0.000467875,0.000467875
45,8915.66,0.21463,0.85758,0.96295,0.77141,0.76168,0.83685,0.76647,0.41978,0.89097,1.0062,0.0004555,0.0004555,0.0004555
46,9091.45,0.21417,0.84765,0.96401,0.76532,0.72095,0.77814,0.70161,0.49236,1.29466,1.08062,0.000443125,0.000443125,0.000443125
47,9268.12,0.21541,0.87934,0.96774,0.82389,0.7993,0.86457,0.79123,0.42638,0.91076,1.01057,0.00043075,0.00043075,0.00043075
48,9447.37,0.21651,0.87839,0.96625,0.77952,0.80975,0.84917,0.76002,0.49426,0.9942,1.10185,0.000418375,0.000418375,0.000418375
49,9623.51,0.20976,0.83262,0.96226,0.86435,0.86475,0.91547,0.83802,0.44696,0.57568,1.04377,0.000406,0.000406,0.000406
50,9799.48,0.21087,0.84675,0.96357,0.82501,0.81968,0.87746,0.79027,0.49184,0.84487,1.10487,0.000393625,0.000393625,0.000393625
51,9975.21,0.20272,0.82024,0.95827,0.8663,0.86349,0.92872,0.8458,0.43325,0.61255,1.0265,0.00038125,0.00038125,0.00038125
52,10153.6,0.20316,0.81147,0.95923,0.83622,0.82438,0.88104,0.79361,0.44032,0.74572,1.02609,0.000368875,0.000368875,0.000368875
53,10330.6,0.20086,0.79669,0.95677,0.82445,0.81453,0.87804,0.78023,0.4747,0.76816,1.04597,0.0003565,0.0003565,0.0003565
54,10507.2,0.198,0.78817,0.9554,0.79073,0.76749,0.85555,0.77303,0.4263,1.04188,1.01548,0.000344125,0.000344125,0.000344125
55,10684.1,0.19665,0.77938,0.95628,0.78767,0.85459,0.89653,0.81827,0.43234,0.67695,1.02756,0.00033175,0.00033175,0.00033175
56,10861.5,0.20174,0.77986,0.95446,0.8662,0.85672,0.91335,0.83803,0.42635,0.57629,1.02105,0.000319375,0.000319375,0.000319375
57,11038.3,0.199,0.76996,0.95699,0.80811,0.83502,0.89144,0.81009,0.44004,0.72029,1.04638,0.000307,0.000307,0.000307
58,11214.3,0.19507,0.7664,0.95469,0.78062,0.77988,0.83348,0.75325,0.44906,1.05438,1.04512,0.000294625,0.000294625,0.000294625
59,11390.9,0.19348,0.76107,0.95422,0.79923,0.77253,0.84042,0.76693,0.42813,1.00037,1.03958,0.00028225,0.00028225,0.00028225
60,11568.7,0.19111,0.74985,0.95199,0.871,0.7708,0.89773,0.8163,0.43818,0.73372,1.02934,0.000269875,0.000269875,0.000269875
